name,categories,address,price,rating,cuisine1,cuisine2,cuisine3,temp,no_Of_cusines
coyard coffee roasters,"Coffee Shop, Coffee Roaster, Café","King Saud Road, الرياض 12624, المملكة العربية السعودية",Cheap,9.3,Coffee Shop, Coffee Roaster, Café,0,3
bus station corner,"Coffee Shop, Restaurant","الرياض 12621, المملكة العربية السعودية",Cheap,7.0,Coffee Shop, Restaurant,,1,2
subway bsf,"Sandwich Place, Fast Food Restaurant","الرياض 12624, المملكة العربية السعودية",Cheap,7.4,Sandwich Place, Fast Food Restaurant,,1,2
rashid sweets & bakers,"Dessert Shop, Bakery",المملكة العربية السعودية,Cheap,7.5,Dessert Shop, Bakery,,1,2
khayam,Indian Restaurant,"Mather St., الرياض, المملكة العربية السعودية",Moderate,6.0,Indian Restaurant,,,2,1
delicious hotel,Asian Restaurant,"Al wizarat (Al moathen street), الرياض 11333, المملكة العربية السعودية",Moderate,6.6,Asian Restaurant,,,2,1
bait alshawaya,Middle Eastern Restaurant,المملكة العربية السعودية,Moderate,5.4,Middle Eastern Restaurant,,,2,1
farah restaurant,Turkish Restaurant,المملكة العربية السعودية,Moderate,6.8,Turkish Restaurant,,,2,1
the coffee shop-sfhp,Café,المملكة العربية السعودية,Cheap,6.2,Café,,,2,1
sugar cane juice shop,Juice Bar,"Hara, الرياض, المملكة العربية السعودية",Cheap,6.8,Juice Bar,,,2,1
the coffee shop ( sfh ),"Café, Coffee Shop","sitteen street,Malaz, الرياض, المملكة العربية السعودية",Cheap,6.5,Café, Coffee Shop,,1,2
lapaz batchoy & bacolod chicken inasal,Asian Restaurant,المملكة العربية السعودية,Moderate,6.5,Asian Restaurant,,,2,1
"dr.cafe coffee east wing,  king faisal specialist hospital & research center- 3",Coffee Shop,"Takhassussi, Riyadh, المملكة العربية السعودية",Cheap,8.5,Coffee Shop,,,2,1
al tyseer restaurant,"Middle Eastern Restaurant, African Restaurant","علي بن ابي طالب, الرياض 3415, المملكة العربية السعودية",Moderate,7.6,Middle Eastern Restaurant, African Restaurant,,1,2
