name,categories,address,price,rating,cuisine1,cuisine2,cuisine3,temp,no_Of_cusines
lola's cupcakes,Coffee Shop,"Panorama mall, الرياض, المملكة العربية السعودية",Cheap,5.4,Coffee Shop,,,2,1
2 eat,Restaurant,"Prince Muhammad Bin Abdulaziz Rd, الرياض 12314, المملكة العربية السعودية",Moderate,8.5,Restaurant,,,2,1
sy cafè,Café,"Prince Muhammad Bin Abdulaziz Rd (Takhassusi St), الرياض 12313, المملكة العربية السعودية",Cheap,8.0,Café,,,2,1
m&s café,Café,"الرياض 12332, المملكة العربية السعودية",Cheap,7.4,Café,,,2,1
mcdonald’s,Fast Food Restaurant,"Takhassusi St, Riyadh, الرياض 12313, المملكة العربية السعودية",Cheap,8.6,Fast Food Restaurant,,,2,1
buffalo's,American Restaurant,"البستان (التخصصي), الرياض 12313, المملكة العربية السعودية",Moderate,6.2,American Restaurant,,,2,1
m’oishî,Ice Cream Shop,"الرياض 12332, المملكة العربية السعودية",Cheap,6.4,Ice Cream Shop,,,2,1
costa coffee,Coffee Shop,"Prince Muhammad Bin Abdulaziz Rd, الرياض 12313, المملكة العربية السعودية",Cheap,7.2,Coffee Shop,,,2,1
mamo michelangelo,Italian Restaurant,"King Fahad Road, الرياض 12212, المملكة العربية السعودية",Moderate,8.6,Italian Restaurant,,,2,1
starbucks (drive thru),Coffee Shop,"King Fahad Road (Mohammad Ally), الرياض 12313, المملكة العربية السعودية",Cheap,8.7,Coffee Shop,,,2,1
russo's new york pizzaria,"Pizza Place, American Restaurant","Prince Sultan Bin Abdulaziz St, الرياض, المملكة العربية السعودية",Cheap,7.7,Pizza Place, American Restaurant,,1,2
dunkin donuts al thalatheen,Donut Shop,المملكة العربية السعودية,Cheap,8.2,Donut Shop,,,2,1
marynoon,"Dessert Shop, Candy Store","thlatheen, الرياض, المملكة العربية السعودية",Cheap,8.4,Dessert Shop, Candy Store,,1,2
jollibee,Filipino Restaurant,"Al-Sulaimaniyah District | حي السليمانية (Abu Bakr Alrazi St.), الرياض, المملكة العربية السعودية",Moderate,7.9,Filipino Restaurant,,,2,1
kruathai,Thai Restaurant,"الرياض, المملكة العربية السعودية",Moderate,7.1,Thai Restaurant,,,2,1
little caesars pizza,Pizza Place,"Abu Bakr Al-Razi St., الرياض, المملكة العربية السعودية",Cheap,7.0,Pizza Place,,,2,1
kruathai seafoods restaurant,Thai Restaurant,المملكة العربية السعودية,Moderate,6.9,Thai Restaurant,,,2,1
new taster's house,Filipino Restaurant,"Abi Bakr Al Razi Street, الرياض, المملكة العربية السعودية",Moderate,7.2,Filipino Restaurant,,,2,1
wayne’s coff,Coffee Shop,"Prince Sultan Military Medical City, الرياض 12233, المملكة العربية السعودية",Cheap,7.1,Coffee Shop,,,2,1
mr. dainty,"Bakery, Café",المملكة العربية السعودية,Cheap,8.3,Bakery, Café,,1,2
blue ribbon bakeshop,"Bakery, Grocery Store","الرياض, المملكة العربية السعودية",Cheap,8.6,Bakery, Grocery Store,,1,2
pizza hut delivery,Pizza Place,المملكة العربية السعودية,Cheap,5.6,Pizza Place,,,2,1
wayne's coffee,Coffee Shop,"Prince Sultan Medical Military city, الرياض 12233, المملكة العربية السعودية",Cheap,7.3,Coffee Shop,,,2,1
flornce cafe by roberto cavali,Coffee Shop,"الرياض 12622, المملكة العربية السعودية",Cheap,7.7,Coffee Shop,,,2,1
dr.cafe,Coffee Shop,"Prince Sultan Military Medical City, الرياض 12233, المملكة العربية السعودية",Cheap,6.3,Coffee Shop,,,2,1
blue ribbon,"Asian Restaurant, Filipino Restaurant","الرياض, المملكة العربية السعودية",Moderate,6.1,Asian Restaurant, Filipino Restaurant,,1,2
let's cafe,Café,"salahudden street, الرياض 6672, المملكة العربية السعودية",Cheap,6.4,Café,,,2,1
fonte,Bakery,"Al Ehsa Street, الرياض, المملكة العربية السعودية",Cheap,5.5,Bakery,,,2,1
tom tom,Fast Food Restaurant,"Al-Ihsa St., الرياض, المملكة العربية السعودية",Cheap,7.3,Fast Food Restaurant,,,2,1
light viola cafe,"Café, Dessert Shop, Coffee Shop","Umar Ibn Abdul Aziz, الرياض, المملكة العربية السعودية",Cheap,8.1,Café, Dessert Shop, Coffee Shop,0,3
grill it,"Burger Joint, Shawarma Place","Umar bin Abdulaziz Rd., الرياض 12834, المملكة العربية السعودية",Cheap,7.3,Burger Joint, Shawarma Place,,1,2
pecanbon,"Coffee Shop, Café","Az Zubair Ibn Al Awam St., الرياض 14215, المملكة العربية السعودية",Cheap,8.8,Coffee Shop, Café,,1,2
bsbosti box,Dessert Shop,"الروابي (الفردوس), الرياض 14216, المملكة العربية السعودية",Cheap,7.5,Dessert Shop,,,2,1
burgy,Burger Joint,"Al Rayan/Suly District, الرياض, المملكة العربية السعودية",Cheap,5.9,Burger Joint,,,2,1
bagel brothers with giovanni l.,"Bagel Shop, Ice Cream Shop","Prince Mashal Ibn Abdulaziz (Al Wadi Plaza), الرياض 12583, المملكة العربية السعودية",Cheap,7.7,Bagel Shop, Ice Cream Shop,,1,2
karam cafe,"Middle Eastern Restaurant, Café","الرياض 12583, المملكة العربية السعودية",Moderate,6.5,Middle Eastern Restaurant, Café,,1,2
pizzariyo,Pizza Place,"عرقة (شارع الأمير مشعل بن عبدالعزيز), الرياض 12583, المملكة العربية السعودية",Cheap,6.7,Pizza Place,,,2,1
crepe cone cafe,"Café, Creperie, Coffee Shop","الرياض 12583, المملكة العربية السعودية",Cheap,8.0,Café, Creperie, Coffee Shop,0,3
'rindu alam' indonesian restaurant,Asian Restaurant,"الرياض 4719, المملكة العربية السعودية",Moderate,8.2,Asian Restaurant,,,2,1
myan hotel,Café,"الرياض, المملكة العربية السعودية",Cheap,7.8,Café,,,2,1
ladurée,"Dessert Shop, Café, Pastry Shop",المملكة العربية السعودية,Cheap,7.7,Dessert Shop, Café, Pastry Shop,0,3
moishi,Ice Cream Shop,"Panorama Mall, الرياض 12332, المملكة العربية السعودية",Cheap,7.2,Ice Cream Shop,,,2,1
the cap soul,"Tea Room, Coffee Shop","الرياض 12332, المملكة العربية السعودية",Moderate,8.2,Tea Room, Coffee Shop,,1,2
tatli,Café,"Panorama Mall (Takhussusi St.), الرياض 12332, المملكة العربية السعودية",Cheap,5.4,Café,,,2,1
idmi coffee roasters,"Coffee Shop, Coffee Roaster","Olaya, الرياض, المملكة العربية السعودية",Cheap,9.2,Coffee Shop, Coffee Roaster,,1,2
porterhouse,"Steakhouse, American Restaurant, BBQ Joint","Tahliya St (King Fahad Road), الرياض, المملكة العربية السعودية",Very Expensive,9.0,Steakhouse, American Restaurant, BBQ Joint,0,3
okku,Japanese Restaurant,"Riyadh (King Fahad Rd.), الرياض 12212, المملكة العربية السعودية",Moderate,7.7,Japanese Restaurant,,,2,1
victorian,Coffee Shop,"الرياض 12212, المملكة العربية السعودية",Cheap,6.8,Coffee Shop,,,2,1
villa palma,Mediterranean Restaurant,"الرياض 12223, المملكة العربية السعودية",Moderate,8.5,Mediterranean Restaurant,,,2,1
japang,"Fried Chicken Joint, Japanese Restaurant, Fast Food Restaurant","الرياض 12221, المملكة العربية السعودية",Cheap,4.8,Fried Chicken Joint, Japanese Restaurant, Fast Food Restaurant,0,3
firegrill,Mexican Restaurant,"Al Faisaliah Mall (Olaya Street), Riyadh, المملكة العربية السعودية",Cheap,7.6,Mexican Restaurant,,,2,1
cookies n' cream,Dessert Shop,"Faisaliah Mall, الرياض, المملكة العربية السعودية",Cheap,7.0,Dessert Shop,,,2,1
peking chinese restaurant,Asian Restaurant,المملكة العربية السعودية,Moderate,6.0,Asian Restaurant,,,2,1
bababasil,Middle Eastern Restaurant,المملكة العربية السعودية,Moderate,5.8,Middle Eastern Restaurant,,,2,1
albukhary restaurant,Middle Eastern Restaurant,المملكة العربية السعودية,Moderate,6.4,Middle Eastern Restaurant,,,2,1
dampa,"Filipino Restaurant, Asian Restaurant","Abu Bakr Al-Razi St., الرياض, المملكة العربية السعودية",Moderate,5.0,Filipino Restaurant, Asian Restaurant,,1,2
get up,Coffee Shop,"الرياض 12824, المملكة العربية السعودية",Cheap,8.0,Coffee Shop,,,2,1
burger trailer & more,"Food Truck, Burger Joint","Anas Bin Malik St., الرياض 13521, المملكة العربية السعودية",Cheap,7.6,Food Truck, Burger Joint,,1,2
hind’s sweet,Food Truck,"مقابل حديقة  محمد ابن القاسم, الرياض 14215, المملكة العربية السعودية",Cheap,8.0,Food Truck,,,2,1
baan thai,Thai Restaurant,"الرياض 12351, المملكة العربية السعودية",Moderate,6.4,Thai Restaurant,,,2,1
villa restaurant,Thai Restaurant,"Orouba St., الرياض, المملكة العربية السعودية",Moderate,8.5,Thai Restaurant,,,2,1
the kitchen,Restaurant,"الرياض 12326, المملكة العربية السعودية",Moderate,7.9,Restaurant,,,2,1
mama jawa,"Indonesian Restaurant, Asian Restaurant","العروبة سكوير, الرياض 12326, المملكة العربية السعودية",Moderate,6.7,Indonesian Restaurant, Asian Restaurant,,1,2
five guys,Burger Joint,"الرياض 12334, المملكة العربية السعودية",Cheap,7.1,Burger Joint,,,2,1
wok to walk,"Chinese Restaurant, Noodle House","Altakhasousi Street, الرياض, المملكة العربية السعودية",Cheap,6.9,Chinese Restaurant, Noodle House,,1,2
taakeen cafe,Café,"Altahliya, الرياض 12331, المملكة العربية السعودية",Cheap,5.4,Café,,,2,1
tea lounge,Tea Room,"Olaya Rd, الرياض, المملكة العربية السعودية",Moderate,7.8,Tea Room,,,2,1
chef boutique,Steakhouse,"الرياض 12213, المملكة العربية السعودية",Very Expensive,7.7,Steakhouse,,,2,1
paul (olaya towers),Café,"الرياض 12213, المملكة العربية السعودية",Cheap,7.2,Café,,,2,1
56th avenue diner,"Diner, American Restaurant, Steakhouse","Hyatt Regency (Olaya St.), الرياض 11433, المملكة العربية السعودية",Cheap,6.5,Diner, American Restaurant, Steakhouse,0,3
cacti cafe,Coffee Shop,"Tahlia St., الرياض 12241, المملكة العربية السعودية",Cheap,7.5,Coffee Shop,,,2,1
yolo,Dessert Shop,"Al Olaya (Abdullah Al-Hamdan St.), الرياض 12241, المملكة العربية السعودية",Cheap,8.5,Dessert Shop,,,2,1
brew92 °,Café,"King Muhammad V, الرياض, المملكة العربية السعودية",Cheap,8.8,Café,,,2,1
mado,"Café, Dessert Shop, Turkish Restaurant","الرياض, المملكة العربية السعودية",Cheap,7.2,Café, Dessert Shop, Turkish Restaurant,0,3
basil lounge,Café,"As Sulimaniyah, Riyadh 12223, Saudi Arabia (The 5th King Mohammef Street), الرياض 12223, المملكة العربية السعودية",Cheap,7.4,Café,,,2,1
beetroot reasturant and cafe,"Hookah Bar, Lounge, Comfort Food Restaurant","King Mohamed The Fifth (Palazo Complex), الرياض 12223, المملكة العربية السعودية",Cheap,7.8,Hookah Bar, Lounge, Comfort Food Restaurant,0,3
wabi sabi,Vegetarian / Vegan Restaurant,"الرياض 12223, المملكة العربية السعودية",Moderate,8.9,Vegetarian / Vegan Restaurant,,,2,1
ribs yard,"Steakhouse, BBQ Joint","الرياض 12223, المملكة العربية السعودية",Very Expensive,6.6,Steakhouse, BBQ Joint,,1,2
san carlo cicchetti,"Italian Restaurant, Restaurant","Al Dabab st, الرياض 12234, المملكة العربية السعودية",Moderate,8.8,Italian Restaurant, Restaurant,,1,2
blanca,"Pizza Place, Italian Restaurant","الرياض 12234, المملكة العربية السعودية",Cheap,8.9,Pizza Place, Italian Restaurant,,1,2
the coffee address,Coffee Shop,"الرياض 12234, المملكة العربية السعودية",Cheap,7.4,Coffee Shop,,,2,1
wagyu - to go & delivery,Burger Joint,"Prince Abdul Aaziz Ibn Musaid, الرياض 12234, المملكة العربية السعودية",Cheap,8.8,Burger Joint,,,2,1
kids kitchen - cookies n'cream,Café,"Prince Sultan Ibn Abdulaziz (Olaya 30), الرياض, المملكة العربية السعودية",Cheap,8.5,Café,,,2,1
nozomi to go,Japanese Restaurant,"Prince Sultan bin abdulaziz RD, الرياض 12232, المملكة العربية السعودية",Moderate,7.2,Japanese Restaurant,,,2,1
al's gourmet,"Sandwich Place, Health Food Store","7757 Al Ihsa, الرياض 12813, المملكة العربية السعودية",Cheap,7.2,Sandwich Place, Health Food Store,,1,2
the lab,Food Truck,"الرياض, المملكة العربية السعودية",Cheap,8.4,Food Truck,,,2,1
dunkin’ donuts drive thru,Donut Shop,"الرياض 12824, المملكة العربية السعودية",Cheap,8.2,Donut Shop,,,2,1
dunkin’,Donut Shop,"الرياض 12824, المملكة العربية السعودية",Cheap,8.3,Donut Shop,,,2,1
presto coffee,Coffee Shop,"Riyadh Care Hospital, الرياض 14214, المملكة العربية السعودية",Cheap,5.8,Coffee Shop,,,2,1
froz,"Frozen Yogurt Shop, Ice Cream Shop, Dessert Shop","Alzubair Bin Al Awam, الرياض 14224, المملكة العربية السعودية",Cheap,8.9,Frozen Yogurt Shop, Ice Cream Shop, Dessert Shop,0,3
palms lounge,Coffee Shop,"حي الخزامى, الرياض, المملكة العربية السعودية",Cheap,8.1,Coffee Shop,,,2,1
the60pasta,Food Truck,"الرياض 13315, المملكة العربية السعودية",Cheap,9.3,Food Truck,,,2,1
tea lounge almashreq,"Tea Room, Lounge",المملكة العربية السعودية,Moderate,8.0,Tea Room, Lounge,,1,2
fire wok,Asian Restaurant,"الرياض 12334, المملكة العربية السعودية",Moderate,6.8,Asian Restaurant,,,2,1
mini chocolate,Dessert Shop,المملكة العربية السعودية,Cheap,7.4,Dessert Shop,,,2,1
sowa cafe,Café,"Sowa Cafe (Al Orouba With Al Takhasusi), الرياض 12333, المملكة العربية السعودية",Cheap,5.9,Café,,,2,1
nobu,Japanese Restaurant,"84 Street (84 Street), الرياض 12214, المملكة العربية السعودية",Moderate,8.2,Japanese Restaurant,,,2,1
gloria jean’s coffees,Coffee Shop,"الرياض, المملكة العربية السعودية",Cheap,6.7,Coffee Shop,,,2,1
dunkin’ dounts-alinma head office,Donut Shop,"Alanoud Tower (B2), الرياض 12214, المملكة العربية السعودية",Cheap,7.8,Donut Shop,,,2,1
19 gram,Coffee Shop,"Olaya st (Musa Ibn Nusair), الرياض, المملكة العربية السعودية",Cheap,7.8,Coffee Shop,,,2,1
greens,"Salad Place, Sandwich Place","Olaya St, Akaria Mall, Akaria 3, Riyadh 12244, الرياض 12214, المملكة العربية السعودية",Cheap,7.9,Salad Place, Sandwich Place,,1,2
bagel & bread,Bagel Shop,"Musa Bin Nosair St. (Olaya St.), الرياض, المملكة العربية السعودية",Cheap,7.9,Bagel Shop,,,2,1
molokai cafe,"Coffee Shop, Café","مولوكاي كافيه molokai cafe، 9259 Al Awsat Valley St, Al Olaya, Riyadh 12214 2430, الرياض 12214, المملكة العربية السعودية",Cheap,7.4,Coffee Shop, Café,,1,2
cleanse & glow,Juice Bar,"الرياض, المملكة العربية السعودية",Cheap,7.2,Juice Bar,,,2,1
magnolia lounge,Restaurant,"Narcissus Hotel, الرياض, المملكة العربية السعودية",Moderate,6.4,Restaurant,,,2,1
tea taste,Tea Room,"الرياض 12242, المملكة العربية السعودية",Moderate,8.6,Tea Room,,,2,1
kalikafe,Coffee Shop,"الرياض, المملكة العربية السعودية",Cheap,7.0,Coffee Shop,,,2,1
l'eto,Café,"Tahlia St, الرياض 12223, المملكة العربية السعودية",Cheap,8.6,Café,,,2,1
l'olimpo,Italian Restaurant,"Ibn Abi Al Sarh St (التحليه), الرياض 12234, المملكة العربية السعودية",Moderate,8.3,Italian Restaurant,,,2,1
illy caffè,Coffee Shop,"Prince Abulaziz Bin Musad Bin Jalawi St, الرياض 12234, المملكة العربية السعودية",Cheap,8.5,Coffee Shop,,,2,1
gontran cherrier,Bakery,"الرياض 12234, المملكة العربية السعودية",Cheap,7.1,Bakery,,,2,1
takya,Restaurant,"الرياض 12234, المملكة العربية السعودية",Moderate,8.3,Restaurant,,,2,1
abanat compound cofee shop,Coffee Shop,المملكة العربية السعودية,Cheap,6.8,Coffee Shop,,,2,1
crepe house,Café,"الرياض 12234, المملكة العربية السعودية",Cheap,6.1,Café,,,2,1
fish and chips,Fast Food Restaurant,"Khurais Rd., الرياض, المملكة العربية السعودية",Cheap,6.5,Fast Food Restaurant,,,2,1
takee,Fast Food Restaurant,"الرياض 12822, المملكة العربية السعودية",Cheap,8.0,Fast Food Restaurant,,,2,1
w burger,Sandwich Place,"شارع الامير ماجد, الرياض 14213, المملكة العربية السعودية",Cheap,6.0,Sandwich Place,,,2,1
shack burger,Burger Joint,"الرياض 12822, المملكة العربية السعودية",Cheap,7.2,Burger Joint,,,2,1
dana cafe,Coffee Shop,"Riyadh, Alrayyan Area (East Ring Rood), الرياض, المملكة العربية السعودية",Cheap,6.5,Coffee Shop,,,2,1
coco boutique,Coffee Shop,"3289 PrinPrince Majed Bin Abdulaziz Rd, Riyadh 14213 (Unaiza Street), الرياض 14213, المملكة العربية السعودية",Cheap,8.9,Coffee Shop,,,2,1
subway 🎶,"Sandwich Place, Fast Food Restaurant","الرياض, المملكة العربية السعودية",Cheap,7.6,Sandwich Place, Fast Food Restaurant,,1,2
masters coffee,Coffee Shop,"Al Imam Ash Shafii, Ar Rawabi, Riyadh 14214, الرياض, المملكة العربية السعودية",Cheap,5.4,Coffee Shop,,,2,1
coffee day,Coffee Shop,"مستشفى الأمير محمد بن عبدالعزيز (أحمد بن حنبل), الرياض 14214, المملكة العربية السعودية",Cheap,7.9,Coffee Shop,,,2,1
baskin robins,Ice Cream Shop,"الرياض, المملكة العربية السعودية",Cheap,8.1,Ice Cream Shop,,,2,1
mcdonalds,"Fast Food Restaurant, American Restaurant","الرياض 14235, المملكة العربية السعودية",Cheap,7.2,Fast Food Restaurant, American Restaurant,,1,2
burger & burger truck (burger & burger),Food Truck,"الرياض, المملكة العربية السعودية",Cheap,7.7,Food Truck,,,2,1
zn caffee,Coffee Shop,"الرياض 12355, المملكة العربية السعودية",Cheap,6.0,Coffee Shop,,,2,1
bonju,"Breakfast Spot, Café","Ushaira Sadair St (King Abdullah Rd), الرياض 12355, المملكة العربية السعودية",Cheap,7.6,Breakfast Spot, Café,,1,2
draft cafe at oud square,Café,"الرياض 12355, المملكة العربية السعودية",Cheap,7.2,Café,,,2,1
taxi,"Burger Joint, American Restaurant","Raka Plaza, الرياض, المملكة العربية السعودية",Cheap,5.2,Burger Joint, American Restaurant,,1,2
bt.burgertrailer,Food Truck,"Turky Alawal (.), الرياض 12351, المملكة العربية السعودية",Cheap,8.8,Food Truck,,,2,1
söt truck,Food Truck,"الرياض 12334, المملكة العربية السعودية",Cheap,8.4,Food Truck,,,2,1
frosty,Juice Bar,"الرياض 12351, المملكة العربية السعودية",Cheap,7.8,Juice Bar,,,2,1
oulu lounge,"Lounge, Restaurant","OULU, الرياض 12341, المملكة العربية السعودية",Expensive,8.3,Lounge, Restaurant,,1,2
cinnabon/seattle's best coffee,Café,"Al Takhassusi (Al Oruba), الرياض, المملكة العربية السعودية",Cheap,6.9,Café,,,2,1
makery truck,"Food Truck, Coffee Shop","Mohamadeh (Takkasusi), الرياض 12363, المملكة العربية السعودية",Cheap,7.6,Food Truck, Coffee Shop,,1,2
tamago,Breakfast Spot,"الرياض, المملكة العربية السعودية",Cheap,8.0,Breakfast Spot,,,2,1
macdonalds.,Fast Food Restaurant,المملكة العربية السعودية,Cheap,8.4,Fast Food Restaurant,,,2,1
manul caffe,Coffee Shop,"Kingdom Tower (Olyah St.), الرياض, المملكة العربية السعودية",Cheap,7.5,Coffee Shop,,,2,1
r lounge,"Coffee Shop, Café","Ladies Kingdom, Kingdom Center, الرياض, المملكة العربية السعودية",Cheap,6.8,Coffee Shop, Café,,1,2
snack street,"Snack Place, Middle Eastern Restaurant","Al Olaya (Khalid Ibn Yazid Ibn Muawiyah), الرياض 12244, المملكة العربية السعودية",Cheap,6.6,Snack Place, Middle Eastern Restaurant,,1,2
alphacafe,Coffee Shop,"Musaad Alanqri (Alsulymaniah), الرياض 12245, المملكة العربية السعودية",Cheap,7.2,Coffee Shop,,,2,1
dolchi chocolate,"Dessert Shop, Bakery, Chocolate Shop","Al Olaya (Abdullah Alhamdan St.), الرياض 11663, المملكة العربية السعودية",Cheap,7.7,Dessert Shop, Bakery, Chocolate Shop,0,3
fiestahan,Filipino Restaurant,"Al Jazeera Supermarket, الرياض 12241, المملكة العربية السعودية",Moderate,7.8,Filipino Restaurant,,,2,1
n2 lab,Ice Cream Shop,"Abdullah Sulaiman Al Hamdan, الرياض 12241, المملكة العربية السعودية",Cheap,7.4,Ice Cream Shop,,,2,1
bon bon chocolate,Dessert Shop,"الرياض 12244, المملكة العربية السعودية",Cheap,8.0,Dessert Shop,,,2,1
give me five,"Middle Eastern Restaurant, Breakfast Spot","The Elite, الرياض 12243, المملكة العربية السعودية",Cheap,8.0,Middle Eastern Restaurant, Breakfast Spot,,1,2
abdul rahman hallab,Dessert Shop,"Dhabab St. (at King Abdul Aziz Rd.), الرياض, المملكة العربية السعودية",Cheap,8.4,Dessert Shop,,,2,1
pureger,"Food Truck, Burger Joint","الرياض, المملكة العربية السعودية",Cheap,8.5,Food Truck, Burger Joint,,1,2
to eat,"Italian Restaurant, Pizza Place","الرياض 14213, المملكة العربية السعودية",Moderate,8.1,Italian Restaurant, Pizza Place,,1,2
black bird cafe,Coffee Shop,"Al-Imam Ahmad Bin Hanbal St, الرياض 14212, المملكة العربية السعودية",Cheap,8.4,Coffee Shop,,,2,1
3bros,Coffee Shop,"الامام احمد بن حمبل, الرياض 14214, المملكة العربية السعودية",Cheap,7.5,Coffee Shop,,,2,1
java time,Coffee Shop,"الرياض 14214, المملكة العربية السعودية",Cheap,7.6,Coffee Shop,,,2,1
koufe broasted,Fast Food Restaurant,"Alsalam (Alzubair Bin Alawam St.), الرياض, المملكة العربية السعودية",Cheap,8.0,Fast Food Restaurant,,,2,1
rüzgar coffee&sweet,Food Truck,"حطين, الرياض 13516, المملكة العربية السعودية",Cheap,8.6,Food Truck,,,2,1
breathe coffee,"Coffee Shop, Café","الرياض 12582, المملكة العربية السعودية",Cheap,7.9,Coffee Shop, Café,,1,2
iceology,"Ice Cream Shop, Coffee Shop","الرياض 12355, المملكة العربية السعودية",Cheap,6.4,Ice Cream Shop, Coffee Shop,,1,2
yummy yogurt,Ice Cream Shop,"الرياض, المملكة العربية السعودية",Cheap,9.5,Ice Cream Shop,,,2,1
c4c vending machine ☕️,Café,"KACST, Riyadh, المملكة العربية السعودية",Cheap,7.9,Café,,,2,1
golden royale,Chinese Restaurant,"King Fahad Road (Oruba), الرياض, المملكة العربية السعودية",Cheap,7.2,Chinese Restaurant,,,2,1
alfanoos,Juice Bar,"الرياض 12214, المملكة العربية السعودية",Cheap,7.0,Juice Bar,,,2,1
jammin',Juice Bar,"Al Oroubah St (Engineer Musaad Alanqari St), الرياض, المملكة العربية السعودية",Cheap,8.9,Juice Bar,,,2,1
basatin al rumen restuarant,Turkish Restaurant,المملكة العربية السعودية,Moderate,7.6,Turkish Restaurant,,,2,1
canton,Chinese Restaurant,"Kingdom Mall, الرياض, المملكة العربية السعودية",Cheap,5.1,Chinese Restaurant,,,2,1
carmey,Dessert Shop,"العروبة (جنب ستاربكس), الرياض, المملكة العربية السعودية",Cheap,6.5,Dessert Shop,,,2,1
the real burger,Burger Joint,"Alurobah (Sabeh), الرياض 12252, المملكة العربية السعودية",Cheap,7.7,Burger Joint,,,2,1
sunrise restaurant,Breakfast Spot,"الرياض, المملكة العربية السعودية",Cheap,6.3,Breakfast Spot,,,2,1
indian style,Indian Restaurant,"الرياض 13211, المملكة العربية السعودية",Moderate,7.1,Indian Restaurant,,,2,1
star beach café,Coffee Shop,المملكة العربية السعودية,Cheap,6.2,Coffee Shop,,,2,1
thai thai seafood,Thai Restaurant,"الرياض 2841, المملكة العربية السعودية",Moderate,7.1,Thai Restaurant,,,2,1
"tutti cafe , family section",Café,"Prince Mohammed Ibn Abdulaziz St (king Fahad Road), الرياض, المملكة العربية السعودية",Cheap,7.2,Café,,,2,1
taj - indian restaurant,Indian Restaurant,"Al Manar District, الرياض, المملكة العربية السعودية",Moderate,5.3,Indian Restaurant,,,2,1
ghwan cafe,Café,"الرياض, المملكة العربية السعودية",Cheap,7.3,Café,,,2,1
mccafé,Coffee Shop,"King Khaled Road, الرياض 12571, المملكة العربية السعودية",Cheap,8.4,Coffee Shop,,,2,1
noon,Deli / Bodega,"الرياض, المملكة العربية السعودية",Cheap,7.1,Deli / Bodega,,,2,1
dr. cafe coffee,Coffee Shop,"2543, الرياض 12372, المملكة العربية السعودية",Cheap,7.4,Coffee Shop,,,2,1
dr.cafe | college of engineering,Coffee Shop,"College Of Engineering, الرياض, المملكة العربية السعودية",Cheap,7.0,Coffee Shop,,,2,1
starbucks - ksu,Coffee Shop,"الرياض 12372, المملكة العربية السعودية",Cheap,5.9,Coffee Shop,,,2,1
croissant cafe,Coffee Shop,"جامعه الملك سعود (جوار مكتبة الامير سلمان), الرياض, المملكة العربية السعودية",Cheap,6.8,Coffee Shop,,,2,1
forestway,"Coffee Shop, Forest","حي الرائد سكن هيئة اعضاء تدريس جامعة الملك سعود (شارع ١٢), الرياض 12372, المملكة العربية السعودية",Cheap,6.6,Coffee Shop, Forest,,1,2
bunch coffee,Coffee Shop,"King Saud University (Girls Campus , Building 6), الرياض 12371, المملكة العربية السعودية",Cheap,7.7,Coffee Shop,,,2,1
broccoli pizza & pasta,Restaurant,"الرياض, المملكة العربية السعودية",Moderate,5.6,Restaurant,,,2,1
tam cafe,Café,"Prince Turki Bin Abdulaziz Al Awal Road, الرياض, المملكة العربية السعودية",Cheap,6.9,Café,,,2,1
flavée,"Bakery, Sandwich Place","الرياض 12344, المملكة العربية السعودية",Cheap,6.9,Bakery, Sandwich Place,,1,2
les jours de joie,Dessert Shop,"Prince Turki Bin Abdulaziz Al-Awwal St. (King Abdullah Rd.), الرياض, المملكة العربية السعودية",Cheap,6.5,Dessert Shop,,,2,1
boost juice,Juice Bar,"Al-Muhammadiyah (Prince Turki Bin Abdulaziz Al Awwal), الرياض 12362, المملكة العربية السعودية",Cheap,7.9,Juice Bar,,,2,1
rush,Coffee Shop,"Prince Turki Bin Abdulaziz Al Awal St., الرياض 12362, المملكة العربية السعودية",Cheap,6.3,Coffee Shop,,,2,1
burgeronomy,Burger Joint,"برجرونومي (King Abdullah Rd.), الرياض 12344, المملكة العربية السعودية",Cheap,7.6,Burger Joint,,,2,1
q chocolate,Dessert Shop,"التخصصي, الرياض, المملكة العربية السعودية",Cheap,8.2,Dessert Shop,,,2,1
forsan kitchen,Restaurant,"الرياض 12362, المملكة العربية السعودية",Moderate,8.4,Restaurant,,,2,1
black & yellow chocolate,Dessert Shop,"الرياض, المملكة العربية السعودية",Cheap,7.4,Dessert Shop,,,2,1
that,Dessert Shop,"King Abdullah street next to Shilz (King Abdullah), Riyadh 11564, المملكة العربية السعودية",Cheap,8.0,Dessert Shop,,,2,1
coki&cup,Dessert Shop,"الرياض 00966, المملكة العربية السعودية",Cheap,7.5,Dessert Shop,,,2,1
umai,Restaurant,"الرياض 12362, المملكة العربية السعودية",Moderate,6.9,Restaurant,,,2,1
november coffee,Coffee Shop,"Takhassusi Street, الرياض 12345, المملكة العربية السعودية",Cheap,8.7,Coffee Shop,,,2,1
glacage,Cupcake Shop,"Takhassusi St. (King Abdullah Rd.), الرياض, المملكة العربية السعودية",Moderate,8.5,Cupcake Shop,,,2,1
diet center al habib hospital,Café,"الرياض, المملكة العربية السعودية",Cheap,5.6,Café,,,2,1
synphytun chocolate,Dessert Shop,"الرياض, المملكة العربية السعودية",Cheap,8.3,Dessert Shop,,,2,1
lavender,Dessert Shop,"Altakhasossi, الرياض, المملكة العربية السعودية",Cheap,7.4,Dessert Shop,,,2,1
test:,Coffee Shop,"الرياض 13713, المملكة العربية السعودية",Cheap,4.4,Coffee Shop,,,2,1
