name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
dr.CAFE COFFEE | د. كيف,"Coffee Shop, Café, Tea Room","Thumama Road (Qurtuba), Riyadh 13412, المملكة العربية السعودية",24.83411055063032,46.734682681276425,Cheap,42.0,62,15,8.3,54.0
The Coffee Club,Café,"الرياض 13413, المملكة العربية السعودية",24.838589,46.732718,Cheap,32.0,188,11,7.3,50.0
KITCHEN 35,Restaurant,"Riyadh Front (Vox Cinema), Riyadh 13413, المملكة العربية السعودية",24.838709,46.731722,Moderate,8.0,75,1,8.3,9.0
Mamma Bunz Cafe,Coffee Shop,"Riyadh Front, الرياض 13413, المملكة العربية السعودية",24.838743,46.731927,Cheap,5.0,43,2,7.0,12.0
Gelato Buono,Ice Cream Shop,"الرياض 13413, المملكة العربية السعودية",24.838203,46.732301,Cheap,12.0,35,4,6.3,20.0
Dunkin',Donut Shop,"Altumamah Road (Hasan Bin Hussain Bin Ali), الرياض 13248, المملكة العربية السعودية",24.837241902356748,46.742143387077,Cheap,80.0,208,5,8.3,100.0
الطازج,Fried Chicken Joint,"الرياض 13248, المملكة العربية السعودية",24.83701744116045,46.74271065731133,Cheap,65.0,63,5,7.9,87.0
Herfy (هرفي),Fast Food Restaurant,"Thomamah Road, المملكة العربية السعودية",24.837119822357877,46.742444545394,Cheap,50.0,10,3,6.9,73.0
Ice cream Truck (سيارة ايس كريم),"Food Truck, Ice Cream Shop","طريق الثمامه ( الدوار الاول ), الرياض, المملكة العربية السعودية",24.83695027221639,46.7405321392274,Cheap,67.0,82,7,8.1,80.0
Pianolla (بيانولا),Coffee Shop,"الرياض 13248, المملكة العربية السعودية",24.83669889249354,46.740267785633755,Cheap,6.0,8,1,6.4,9.0
Domino's Pizza,Pizza Place,المملكة العربية السعودية,24.837592,46.741517,Cheap,1.0,0,0,7.2,1.0
Abu Turki's Tea (شاهي على الجمر أبو تركي),"Tea Room, Food Truck","الرياض, المملكة العربية السعودية",24.83752343808677,46.74347099634034,Moderate,137.0,533,15,9.1,157.0
مقهى القرية,Tea Room,"طريق الثمامة, المملكة العربية السعودية",24.83849743591701,46.744243690341975,Moderate,7.0,7,1,6.7,9.0
Herfy (هرفي),Fast Food Restaurant,"المونسية الغربي (شارع الصحابة باتجاه الجنوب), الرياض, المملكة العربية السعودية",24.838356333496556,46.763506657055785,Cheap,39.0,15,2,6.6,65.0
مطاعم ومشويات سلة الرافدين فرع (٣),Middle Eastern Restaurant,"الرياض 13249, المملكة العربية السعودية",24.835262,46.765514,Moderate,5.0,2,0,5.6,12.0
فلافل الشام,Falafel Restaurant,المملكة العربية السعودية,24.83470664902604,46.76631561659771,Cheap,5.0,23,0,5.3,12.0
dr.CAFE COFFEE,"Coffee Shop, Café, Sandwich Place","Girls College-1 / KSU (Olaysha Str.), الرياض 11566, المملكة العربية السعودية",24.83626451178885,46.765354871749885,Cheap,4.0,0,0,7.3,6.0
Abu turki's Tea (ابوتركي شاي على الجمر),"Tea Room, Food Truck","الرياض, المملكة العربية السعودية",24.836219564457693,46.77967519637395,Moderate,21.0,14,1,8.4,23.0
