name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Dunkin',Donut Shop,"الرياض, المملكة العربية السعودية",24.52500124594793,46.433943806043864,Cheap,29.0,90,1,8.9,32.0
Moroccan Taste (المذاق المغربي),Café,"Makkah Al Mukarramah Rd, الرياض, المملكة العربية السعودية",24.524937293050836,46.43353856458267,Cheap,22.0,13,2,8.6,24.0
كرك جدي,Café,"الرياض, المملكة العربية السعودية",24.525067850036105,46.43420344582057,Cheap,24.0,27,1,7.3,33.0
دانكن دونت طريق المزاحميه,"Donut Shop, Coffee Shop","الرياض, المملكة العربية السعودية",24.524959,46.433640999999994,Cheap,0.0,6,0,8.3,0.0
Starbucks,Coffee Shop,"الرياض 14723, المملكة العربية السعودية",24.522543,46.648867,Cheap,1.0,16,0,8.1,1.0
بهارات الأولين,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.525009,46.68766,Moderate,8.0,10,6,7.8,9.0
Burger King,Fast Food Restaurant,"prince mamdooh bin abdulaziz, Riyadh 12241, المملكة العربية السعودية",24.5271348225978,46.669921875,Cheap,1.0,0,0,6.7,1.0
KFC (كنتاكي),"Fast Food Restaurant, Fried Chicken Joint","Alhazem (Dirab Road), الرياض, المملكة العربية السعودية",24.535847892014125,46.65677051846056,Cheap,2.0,12,1,6.3,7.0
Starbucks,Coffee Shop,"الرياض, المملكة العربية السعودية",24.53558928999773,46.68863699968899,Cheap,4.0,12,0,8.0,4.0
Dunkin Donuts (دانكن دونتس),Donut Shop,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.53535176259244,46.69324324903404,Cheap,17.0,57,1,8.2,20.0
The Sandwich Co. (ذا ساندوتش كومبني),Burger Joint,"الرياض -حي الشفاء, الرياض 14725, المملكة العربية السعودية",24.53535514630745,46.69304635352495,Cheap,12.0,18,2,7.8,15.0
Tsc,Restaurant,"alshifa, الرياض 14725, المملكة العربية السعودية",24.535385,46.693226,Moderate,3.0,3,2,7.6,3.0
Domino's Pizza,Pizza Place,"Alshifaa Plaza (Imam Muslim), الرياض 14725, المملكة العربية السعودية",24.535662,46.69306,Cheap,0.0,1,0,7.3,0.0
SADIG Coffee Shop (صادق كافيه),Coffee Shop,"شارع الخليفة المأمون, الرياض, المملكة العربية السعودية",24.53456460487329,46.698102551804155,Cheap,10.0,14,1,7.5,13.0
Seven Elven 7/11 Coffee & Sweet,"Food Truck, Coffee Shop","الرياض 13514, المملكة العربية السعودية",24.535162833364144,46.61486555288729,Cheap,8.0,8,0,7.8,8.0
Burger Tower (برجر تاور),Burger Joint,المملكة العربية السعودية,24.53907669458394,46.64020738649477,Cheap,23.0,9,3,7.0,35.0
برجر جي,Burger Joint,المملكة العربية السعودية,24.538326807415427,46.65271571733928,Cheap,12.0,1,4,7.6,13.0
KFC,"Fast Food Restaurant, Fried Chicken Joint",المملكة العربية السعودية,24.535850142207252,46.653271927821294,Cheap,3.0,1,0,6.6,3.0
مطعم كبسة امي,Diner,المملكة العربية السعودية,24.539287726918023,46.65154121006035,Cheap,3.0,5,1,4.9,14.0
Starbucks (ستاربكس),Coffee Shop,"تقاطع شارع الصحراء مع طريق ديراب (Dirab Road), الرياض 14722, المملكة العربية السعودية",24.53730220066813,46.65940300256909,Cheap,162.0,1171,37,8.9,187.0
McDonald's (ماكدونالدز),Fast Food Restaurant,"حي الحزم (طريق ديراب), الرياض, المملكة العربية السعودية",24.53744947994433,46.65816434021157,Cheap,80.0,42,1,8.1,109.0
Juice Time (وقت العصير),"Juice Bar, Ice Cream Shop","الرياض, المملكة العربية السعودية",24.538300543617325,46.6593210147631,Cheap,23.0,63,7,8.3,28.0
Hamburgini (هامبرغيني),Burger Joint,"Dirab road | طريق ديراب (Hamza bin abdulmutaleeb), الرياض 14964, المملكة العربية السعودية",24.538437224231963,46.659064292907715,Cheap,125.0,53,22,8.5,151.0
Subway (صب واي),Sandwich Place,"طريق ديراب, الرياض, المملكة العربية السعودية",24.537504587522047,46.65807559385014,Cheap,12.0,12,1,6.7,19.0
Noodles Factory (نودلز فاكتوري),Noodle House,"طريق ديراب, الرياض, المملكة العربية السعودية",24.53745710439075,46.658166099535634,Cheap,20.0,8,12,6.8,31.0
Herfy 326 jazzed,Burger Joint,"طريق ديراب, الرياض, المملكة العربية السعودية",24.53856085890389,46.659330451002475,Cheap,6.0,1,1,5.9,14.0
Pizza Hut,Pizza Place,"حي الحزم (طريق ديراب), الرياض, المملكة العربية السعودية",24.538746,46.659229,Cheap,0.0,1,0,6.6,0.0
Burger King (برجر كنج),Fast Food Restaurant,"حي المروة (طريق ديراب), الرياض, المملكة العربية السعودية",24.537399,46.659862,Cheap,7.0,10,0,5.6,15.0
Shifudo شيفودو,Seafood Restaurant,"Shifa district - Imam Muslim Road - After Orouba Center and before Banda, الرياض, المملكة العربية السعودية",24.536275215398256,46.692242337101405,Expensive,12.0,44,7,6.5,20.0
قهوة شخصين 2GUYS,Café,"Alshifa (Imam Muslim), الرياض, المملكة العربية السعودية",24.539014190106077,46.688574106270686,Cheap,5.0,32,2,6.2,10.0
Coffee Gram (جرام القهوة),Coffee Shop,"Al Khalifah Al Mamoon St, الرياض 14724, المملكة العربية السعودية",24.53789076941372,46.70082088882203,Cheap,88.0,532,36,8.9,107.0
Domino's Pizza (دومينوز بيتزا),Pizza Place,المملكة العربية السعودية,24.536037279056146,46.71251076984575,Cheap,3.0,1,0,6.6,6.0
فلافل قرمشة,Falafel Restaurant,"Al Itidal, المملكة العربية السعودية",24.54025747442121,46.7250263770906,Cheap,5.0,1,0,6.8,9.0
مقهى الديوانية الخليجية,Arepa Restaurant,المملكة العربية السعودية,24.54395098792429,46.64752944624711,Cheap,17.0,4,2,6.7,27.0
مزاج الزنجبيل,Café,المملكة العربية السعودية,24.542598,46.648183,Cheap,8.0,0,0,7.3,9.0
قديمك نديمك,Café,"شارع حمزة بن عبدالمطلب, المملكة العربية السعودية",24.546329949493185,46.64797996845736,Cheap,27.0,29,5,7.7,35.0
فطيرة الفلافل Falafel Pie | حي الحزم,Falafel Restaurant,"حي الحزم (شارع المشتل), الرياض 77779, المملكة العربية السعودية",24.545193,46.652774,Cheap,7.0,1,1,6.5,13.0
بروكولي,Italian Restaurant,"الرياض 14964, المملكة العربية السعودية",24.544229259459748,46.65458830300681,Moderate,8.0,5,0,6.2,16.0
Dominos Pizza (دومينوز بيتزا),Pizza Place,"الرياض - حي الحزم (شارع المشتل), المملكة العربية السعودية",24.54525668820887,46.65326892189474,Cheap,24.0,6,2,8.6,27.0
Dankin Donut's,Café,"شارع المشتل, المملكة العربية السعودية",24.542198983195828,46.65827397617082,Cheap,14.0,9,0,8.6,14.0
Mustache Burger,Burger Joint,"الرياض 14964, المملكة العربية السعودية",24.545034,46.653356,Cheap,8.0,4,5,7.7,9.0
Java Time (جافا تايم),Café,"Asheffa District (Dirab Road), الرياض, المملكة العربية السعودية",24.54620683267403,46.66684351078408,Cheap,193.0,164,32,8.8,224.0
Burgerizzer (برغرايززر),Burger Joint,"الرياض, المملكة العربية السعودية",24.546041147350827,46.66527438515885,Cheap,15.0,11,1,8.5,16.0
dr.CAFE COFFEE (د. كيف كافيه),"Coffee Shop, Café","داخل محطة وقود (تقاطع شارع ابن تيمية مع الخليل بن أحمد), الرياض, المملكة العربية السعودية",24.543597800500606,46.692787160303624,Cheap,106.0,130,48,8.3,141.0
Domino's Pizza,Pizza Place,"7469 Al Khalifah Al Maamoun St, Next to Hyper Panda, Badr, الرياض 14724, المملكة العربية السعودية",24.541904,46.704626,Cheap,0.0,0,0,7.2,1.0
Domino's Pizza (دومينوز بيتزا),Pizza Place,"الخليفة مأمون, الرياض, المملكة العربية السعودية",24.54173895458276,46.70425679882062,Cheap,16.0,11,0,7.4,21.0
Awafi (عوافي),Middle Eastern Restaurant,"Al Khalil Ibn Ahmad, Badr, الرياض, المملكة العربية السعودية",24.54204,46.69520900000001,Moderate,6.0,3,3,6.6,8.0
ستار بكس,Coffee Shop,المملكة العربية السعودية,24.54234547260007,46.71185420691342,Cheap,10.0,16,0,7.4,13.0
باسكن روبنز Baskin Robbinz,Ice Cream Shop,"حي بدر (الخليفة المأمون), الرياض, المملكة العربية السعودية",24.54467413303645,46.71150085806586,Cheap,6.0,15,1,6.6,8.0
البروستد البلدي,Fried Chicken Joint,"حي الحزم (تقاطع شارع حمزة بن عبدالمطلب مع شارع المشتل), الرياض, المملكة العربية السعودية",24.547944,46.648064,Cheap,10.0,4,5,6.7,15.0
Chili House (تشيلي هاوس),"Burger Joint, Hot Dog Joint",المملكة العربية السعودية,24.547250590386337,46.64860420197139,Cheap,17.0,31,8,7.5,24.0
Dunkin' Donuts (دانكن دونتس),Donut Shop,"حي الحزم, الرياض, المملكة العربية السعودية",24.546540986099487,46.65035383033099,Cheap,92.0,149,10,8.6,109.0
فوال الطائف,Restaurant,"الحزم شارع المشتل, الرياض, المملكة العربية السعودية",24.54679853179897,46.65001852726271,Moderate,18.0,64,2,7.0,27.0
Kudu (كودو),"Fast Food Restaurant, Sandwich Place","حي الحزم (طريق حمزة بن عبدالمطلب), الرياض, المملكة العربية السعودية",24.546434321220755,46.65088011654746,Cheap,21.0,11,1,8.1,24.0
مطاعم الديرة,Arepa Restaurant,المملكة العربية السعودية,24.54679192253269,46.64986405753397,Cheap,7.0,0,1,6.7,11.0
Baskin-Robbins,Ice Cream Shop,"شارع المشتل, الرياض, المملكة العربية السعودية",24.5465770086816,46.65051450443906,Cheap,5.0,8,2,7.5,6.0
عالخفيف,Asian Restaurant,المملكة العربية السعودية,24.546392459717783,46.650773269719174,Moderate,11.0,16,2,7.3,14.0
البرجر المشوي Grilled Burger,Burger Joint,"شارع المشتل, المملكة العربية السعودية",24.54655788987628,46.65045794350219,Cheap,4.0,1,0,5.6,8.0
Dunya Restaurant,Turkish Restaurant,المملكة العربية السعودية,24.544741608598052,46.653782213778285,Moderate,2.0,1,0,5.0,10.0
GM coffee,Café,"طريق ديراب, المملكة العربية السعودية",24.549545,46.667833,Cheap,7.0,10,3,7.8,8.0
سنابل السلام,Bakery,"حي المروة (طريق ديراب), الرياض, المملكة العربية السعودية",24.551453557669763,46.669701785273894,Cheap,16.0,3,1,7.4,23.0
المذاق المغربي,Café,"الشفا (الامام مسلم), الرياض, المملكة العربية السعودية",24.543843994187498,46.68232559644101,Cheap,22.0,9,0,8.9,23.0
FROZ (فروز),"Frozen Yogurt Shop, Ice Cream Shop","حي بدر (شارع ابن تيمية), الرياض, المملكة العربية السعودية",24.54331662450901,46.69187810278897,Cheap,107.0,74,6,9.3,114.0
Grilled Burger (البرجر المشوي),Burger Joint,"الشفا (ط ابن تيمية ش  الستين بجانب بودي ماستر), الرياض, المملكة العربية السعودية",24.54547283572929,46.69343564618803,Cheap,42.0,26,8,8.5,49.0
KFC (كنتاكي),Fried Chicken Joint,"7877 طريق ابن تيمية, الرياض 14724, المملكة العربية السعودية",24.545684846502265,46.69437021208933,Cheap,22.0,29,2,5.9,45.0
بحريه,Seafood Restaurant,"الرياض, المملكة العربية السعودية",24.545701174692887,46.69030213234437,Expensive,17.0,3,2,7.6,24.0
Pizza Hut,Pizza Place,"شارع الخليل بن أحمد, الرياض, المملكة العربية السعودية",24.54671655658617,46.68913228831367,Cheap,3.0,2,0,6.5,6.0
Grilled Burger 77,Burger Joint,المملكة العربية السعودية,24.5454602111278,46.69351236035207,Cheap,8.0,10,2,7.3,10.0
Address Cafe (عنوان القهوة),Coffee Shop,"الرياض 14721, المملكة العربية السعودية",24.54996434023685,46.697302619294135,Cheap,178.0,1418,51,9.3,200.0
أنوش Anoosh,Dessert Shop,"شارع ابن تيمية, الرياض, المملكة العربية السعودية",24.54820323371263,46.69595212318603,Cheap,51.0,56,11,7.9,70.0
Style Coffe ستايل كافيه,Coffee Shop,"فرع حي بدر (ط ابن تيمية), الرياض, المملكة العربية السعودية",24.54823854712357,46.69552242206654,Cheap,19.0,35,5,8.6,20.0
عصائر مز,Juice Bar,"حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.54733587364769,46.69578697796735,Cheap,27.0,18,2,8.2,32.0
B1 Grilled Burger برجر مشوي,Burger Joint,"ALSHIFA, الرياض, المملكة العربية السعودية",24.54665977293345,46.69516105150481,Cheap,11.0,11,2,7.6,14.0
Al Hatab Bakery (أفران الحطب),Bakery,"Ibn Taymeeyah Rd, الرياض, المملكة العربية السعودية",24.5495812445521,46.69781897727536,Cheap,29.0,34,4,9.1,32.0
Falafel Way طريق الفلافل,Falafel Restaurant,المملكة العربية السعودية,24.548007898337932,46.695940818995616,Cheap,20.0,23,9,7.6,27.0
كودو,Fast Food Restaurant,المملكة العربية السعودية,24.54895765293942,46.697163365638296,Cheap,27.0,11,2,8.1,32.0
REAL BURGER |Burger&Fries,Fast Food Restaurant,"الرياض 14721, المملكة العربية السعودية",24.549942643900515,46.697261614342686,Cheap,11.0,34,5,8.0,13.0
كنافة الأردن,Dessert Shop,"الرياض, المملكة العربية السعودية",24.54626480422967,46.69481194837634,Cheap,13.0,15,2,7.4,16.0
Saadeddin Pastry (حلويات سعد الدين),Dessert Shop,المملكة العربية السعودية,24.548067880530947,46.695847246263504,Cheap,36.0,19,1,6.3,56.0
pizza pastry istanbul,"Pizza Place, Fast Food Restaurant",المملكة العربية السعودية,24.54628301279817,46.694712040432854,Cheap,12.0,14,2,5.9,24.0
مطعم هاشم,Falafel Restaurant,"الشفا (ابن تيميه- الستين), المملكة العربية السعودية",24.550693739016666,46.69778815846276,Cheap,27.0,9,6,6.8,41.0
مطاعم شاميات,Middle Eastern Restaurant,"الشفاء, الرياض, المملكة العربية السعودية",24.55145825571341,46.69857201156304,Moderate,10.0,7,0,6.3,18.0
قلعة الجود للمشويات الطازجة,Steakhouse,المملكة العربية السعودية,24.55123604639577,46.69869467835762,Very Expensive,6.0,2,0,7.2,8.0
عصائر عنوب,Juice Bar,"شارع الستين-حي الشفاء, الرياض, المملكة العربية السعودية",24.55120607071584,46.698951965140544,Cheap,14.0,30,3,7.7,16.0
مطعم بخاري الطائف,Middle Eastern Restaurant,المملكة العربية السعودية,24.546345052721033,46.70749843903089,Moderate,34.0,7,3,7.8,44.0
لقيمات نوره,Dessert Shop,"الرياض 14716, المملكة العربية السعودية",24.55027,46.70572,Cheap,6.0,6,1,7.3,8.0
فوال الطائف,Breakfast Spot,"طريق عرفات, الشفا, المملكة العربية السعودية",24.54425988853504,46.71748537446851,Cheap,24.0,36,1,7.3,34.0
Dunkin',Donut Shop,"New Industrial City, الرياض 14334, المملكة العربية السعودية",24.541924,46.90615,Cheap,0.0,8,0,8.3,0.0
Al Baik (البيك),Fried Chicken Joint,"Petromin Fuel Station (Mazamiyah), الرياض, المملكة العربية السعودية",24.5442872666572,46.46747537618551,Cheap,348.0,423,54,8.8,429.0
Herfy (هرفي),Fast Food Restaurant,"الرياض 14931, المملكة العربية السعودية",24.556234,46.499383,Cheap,5.0,3,2,6.8,8.0
STARBUCKS,Coffee Shop,"Twaiq, الرياض 14931, المملكة العربية السعودية",24.554561,46.510992,Cheap,17.0,197,9,8.4,20.0
أوثنتك كافيه,Café,"الرياض 14931, المملكة العربية السعودية",24.554910999999997,46.51052,Cheap,7.0,12,2,7.8,8.0
Albaik (البيك),Fried Chicken Joint,"3601 شارع نجم الدين الأيوبي, الرياض 14931, المملكة العربية السعودية",24.554386371075665,46.51279894832521,Cheap,86.0,149,17,8.6,108.0
ستاربكس,Coffee Shop,"الرياض 14931, المملكة العربية السعودية",24.554302,46.511795,Cheap,8.0,31,1,8.1,8.0
قهوتك,Café,المملكة العربية السعودية,24.55459176346809,46.5488281505666,Cheap,4.0,7,1,6.4,8.0
Dunkin',Donut Shop,"Najm Al-Din Al- Ayyoubi St., الرياض, المملكة العربية السعودية",24.55384828281969,46.55732851799893,Cheap,26.0,98,6,9.2,29.0
مطاعم ومطابخ التراث النجدي,Middle Eastern Restaurant,"الرياض 14927, المملكة العربية السعودية",24.553615,46.559766,Moderate,2.0,2,0,7.6,2.0
Herfy (هرفي),Fast Food Restaurant,"طريق نجم الدين | Njem Aldeen ST, الرياض, المملكة العربية السعودية",24.55360225282348,46.56425341296824,Cheap,18.0,11,5,7.3,26.0
Kudo (كودو),Fast Food Restaurant,"Najmaddin Al-Ayoubi St, الرياض, المملكة العربية السعودية",24.553007435061545,46.56838772254503,Cheap,19.0,14,5,8.5,21.0
KFC,"Fried Chicken Joint, Fast Food Restaurant","Najeem Aldeyn, الرياض, المملكة العربية السعودية",24.552687,46.571426,Cheap,0.0,14,0,6.2,3.0
Hardee’s,"Fast Food Restaurant, Burger Joint","Najm Alddin Al Ayyoubi St., الرياض, المملكة العربية السعودية",24.552697,46.571511,Cheap,2.0,4,2,6.9,3.0
كرسبي كريم,Café,"طريق نجم الدين الايوبي, الرياض, المملكة العربية السعودية",24.552823,46.57174600000001,Cheap,4.0,7,1,7.4,4.0
لقيمات احلا زمان,Bagel Shop,"العوالي (نجم الدين), الرياض 14926, المملكة العربية السعودية",24.555452,46.588791,Cheap,0.0,1,1,6.7,0.0
Krispy Kreme,"Donut Shop, Coffee Shop","الرياض 14925, المملكة العربية السعودية",24.552227,46.59934000000001,Cheap,1.0,0,0,7.2,1.0
Alma Cafe (ألمى كافيه),"Restaurant, Café","Alawali, Unnamed road, الرياض 14925, المملكة العربية السعودية",24.554592846011484,46.60563935322836,Moderate,66.0,404,27,8.4,82.0
إبريق القهوة,Café,المملكة العربية السعودية,24.55278587341309,46.61986923217773,Cheap,19.0,2,1,7.4,27.0
عالخفيف صاج وفخار,Breakfast Spot,المملكة العربية السعودية,24.54647694244803,46.65071147580828,Cheap,24.0,5,2,6.2,36.0
قهوة مَليحة | Coffee Maliha,Café,"الرياض 14721, المملكة العربية السعودية",24.554122,46.67321,Cheap,58.0,610,10,9.2,64.0
Eat Zero (ايت زيرو),Restaurant,"الشفا (طريق ديراب), الرياض 14721, المملكة العربية السعودية",24.55498571709134,46.673985484819795,Moderate,8.0,48,2,8.0,9.0
Dunkin Donuts (دنكن دونات),Donut Shop,المملكة العربية السعودية,24.552959894003468,46.67564803781936,Cheap,4.0,13,0,8.0,4.0
Burgerizzr برغرايززر,Burger Joint,"Dirab Rd. Marwah Dist (shifa) طريق ديراب, حي المروة - الشفا, الرياض, المملكة العربية السعودية",24.55508850865517,46.67390353195496,Cheap,76.0,18,20,7.4,98.0
مطاعم ومطابخ الشوكي,"Restaurant, Middle Eastern Restaurant",المملكة العربية السعودية,24.555335316878384,46.6745728501546,Moderate,7.0,3,0,5.9,13.0
الديمياطي,Breakfast Spot,"فلافل مصرية, المملكة العربية السعودية",24.555445,46.676407,Cheap,8.0,11,1,7.0,12.0
مطاعم التنهات,Middle Eastern Restaurant,"الشفا (شارع المعارض), الرياض, المملكة العربية السعودية",24.55412167828245,46.677855074427065,Moderate,9.0,4,2,5.9,17.0
Juice Time وقت العصير,Juice Bar,المملكة العربية السعودية,24.55244799201049,46.699168458445776,Cheap,14.0,87,2,8.5,16.0
ورق التوت,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.552352199923572,46.69965073970982,Moderate,65.0,20,11,8.2,77.0
Montreux,"Café, Pastry Shop","Ibn Taymeeyah Rd ابن تيمه, الرياض 14713, المملكة العربية السعودية",24.55232,46.699125,Cheap,43.0,28,1,9.2,45.0
Gosn AL Toot (غصن التوت),Turkish Restaurant,المملكة العربية السعودية,24.55190747376981,46.69880319162218,Moderate,16.0,3,1,6.6,25.0
فرن الضيعة,Bakery,"الرياض 14716, المملكة العربية السعودية",24.555703,46.702617,Cheap,17.0,9,5,8.6,18.0
Best Pasta (أحلى مكرونه),Restaurant,المملكة العربية السعودية,24.55495786877616,46.70155974130137,Moderate,28.0,24,12,7.4,39.0
Maestro Pizza (مايسترو بيتزا),Pizza Place,"الشفاء -شارع الستين Al-Shifa 60 St, الرياض, المملكة العربية السعودية",24.555530766991357,46.70177088242818,Cheap,22.0,9,6,6.7,35.0
A12 CAFÈ,Food Truck,"Turki Bin Abdulaziz St, الرياض 12362, المملكة العربية السعودية",24.699275285012412,46.656661174743654,Cheap,147.0,1191,17,9.3,165.0
مجمع دستاران الطبي,Swiss Restaurant,المملكة العربية السعودية,24.551931,46.712112,Expensive,6.0,5,1,7.1,8.0
البيك,"Fried Chicken Joint, Fast Food Restaurant","الرياض 14718, المملكة العربية السعودية",24.55619206552659,46.727345019802506,Cheap,43.0,73,16,9.0,56.0
قهوه المغرب,Coffee Shop,المملكة العربية السعودية,24.556652826158643,46.72676498723778,Cheap,5.0,6,1,7.3,8.0
McDonald's,Fast Food Restaurant,"2nd Industrial Area, الرياض, المملكة العربية السعودية",24.55374966201846,46.88877877665861,Cheap,53.0,52,1,7.6,74.0
Dunkin',Donut Shop,"Second Industrial City (119), الرياض, المملكة العربية السعودية",24.55183843665589,46.89068476093914,Cheap,11.0,74,1,7.4,15.0
Kudu,"Fast Food Restaurant, Food","Second Industrial Area, الرياض, المملكة العربية السعودية",24.554159578764978,46.88884575209768,Cheap,52.0,27,10,7.7,74.0
KFC 2nd Industrial City,American Restaurant,المملكة العربية السعودية,24.553419561134955,46.88947910870096,Moderate,17.0,19,2,6.6,28.0
الرومانسية - المدينة الصناعية الثانية,Restaurant,"الرياض, المملكة العربية السعودية",24.552486007494306,46.887772994265354,Moderate,7.0,9,0,7.5,9.0
Hot Plate Chinese Restaurant,Asian Restaurant,المملكة العربية السعودية,24.55372422003003,46.88905930337359,Moderate,15.0,13,5,7.3,22.0
Domino's Pizza,Pizza Place,"8833 New Industrial Area, Opposite Civil Defense Center, الرياض 14334, المملكة العربية السعودية",24.553806,46.888872,Cheap,0.0,0,0,7.3,0.0
دومينوز بيتزا,Pizza Place,"الرياض 14334, المملكة العربية السعودية",24.553689,46.888871,Cheap,0.0,1,0,7.3,0.0
HERFY 2and Industrial City,"Burger Joint, Fast Food Restaurant",المملكة العربية السعودية,24.552562096626676,46.88793903851551,Cheap,4.0,1,0,5.2,11.0
dr.CAFE COFFEE | د. كيف,"Coffee Shop, Café, Sandwich Place","MODON (Al Kharj Road), الرياض 11566, المملكة العربية السعودية",24.552818,46.890837,Cheap,6.0,4,3,6.2,11.0
Juiceland (أرض العصير),Juice Bar,المملكة العربية السعودية,24.56073420089796,46.5469452696418,Cheap,70.0,36,17,8.0,94.0
Burger King,Fast Food Restaurant,"الرياض 14928, المملكة العربية السعودية",24.560796,46.545284,Cheap,0.0,2,0,6.6,0.0
Farouj AL-Carawan Turkish Restaurant,Turkish Restaurant,"Necmeddin Al Eyyub, Riyadh, المملكة العربية السعودية",24.557842,46.55573,Moderate,7.0,3,1,7.4,8.0
فوال غالية الطائف,Breakfast Spot,"الرياض - حي طويق (شارع الامير عبدالرحمن بن سعود), الرياض, المملكة العربية السعودية",24.55676078796387,46.55419540405274,Cheap,6.0,14,5,6.1,10.0
Loaded Burger,Burger Joint,"Altawheed Street, الرياض 14925, المملكة العربية السعودية",24.558722,46.613832,Cheap,9.0,19,1,8.0,10.0
سيارة آيسكريم البرنس,"Ice Cream Shop, Food Truck","شارع أصبغ بن محمد (شارع إسحاق بن عبدالرحمن), الرياض 14924, المملكة العربية السعودية",24.557274,46.620673,Cheap,88.0,390,14,9.3,97.0
Salam Mall Foodcourt,Fast Food Restaurant,المملكة العربية السعودية,24.558299427195124,46.636413961560706,Cheap,8.0,7,0,7.0,11.0
Costa Coffee (كوستا كوفي),Coffee Shop,المملكة العربية السعودية,24.558857645344983,46.63661683651782,Cheap,12.0,15,1,6.1,20.0
Chocochino Caffe (شوكوتشينو),Café,"الرياض, المملكة العربية السعودية",24.558137,46.63653400000001,Cheap,4.0,19,3,6.8,10.0
llaollao (لاولاو),Frozen Yogurt Shop,المملكة العربية السعودية,24.55814314523261,46.63670139941884,Cheap,8.0,12,4,6.9,13.0
Kfc,"Fast Food Restaurant, Fried Chicken Joint","Sahara Mall, المملكة العربية السعودية",24.55823,46.636796,Cheap,2.0,1,1,6.3,3.0
مولتن شوكلت كافيه,Café,"الرياض 14924, المملكة العربية السعودية",24.558789081912884,46.63802787391777,Cheap,24.0,83,6,8.1,32.0
Mamma Roti (ماما روتي),Coffee Shop,"Salaam mall | سلام مول (طريق الدائري الغربي), الرياض, المملكة العربية السعودية",24.559046039684123,46.63746499694642,Cheap,39.0,30,4,7.9,49.0
بورتو كافيه,"Café, Coffee Shop","بورتو كافيه Alawali, Western Ring Road, Exit 27, Al Badee District، العوالي، الرياض 14924، Riyadh 14924 050 010 0452 https://go (مخرج ٢٧ سلام مول، الدور الأرضي، بين منطقة الألعاب), الرياض 14924, المملكة العربية السعودية",24.558347,46.637355,Cheap,9.0,74,4,8.0,10.0
Cinnabon (سينابون),Dessert Shop,"Western Ring Rd (Salam Mall | سلام مول), الرياض, المملكة العربية السعودية",24.55870289713189,46.63797719874878,Cheap,19.0,3,1,8.0,22.0
McDonald's (ماكدونالدز),Fast Food Restaurant,"SALAM Mall (Food Court) (السلام مول (ساحة الطعام)، البديعة، الرياض), الرياض, المملكة العربية السعودية",24.55906652538423,46.63719534830307,Cheap,5.0,2,1,7.3,7.0
إنديان ستايل Indian Style,Indian Restaurant,"الرياض 14962, المملكة العربية السعودية",24.561465,46.679534,Moderate,14.0,47,3,7.5,19.0
McDonald's (ماكدونالدز),"Fast Food Restaurant, American Restaurant","حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.55802208721388,46.70499955491376,Cheap,44.0,53,4,6.7,74.0
شواية الخليج,Middle Eastern Restaurant,"Alshifa (Ibn Taimeah St.), الرياض, المملكة العربية السعودية",24.557463590815058,46.70375874094305,Moderate,13.0,17,4,8.5,14.0
SADIG Cafe (صادق كافيه),Coffee Shop,"Almuthana Bin Harth (Almuthana Bin Harth), الرياض 14713, المملكة العربية السعودية",24.56130629320929,46.70116541790628,Cheap,79.0,343,20,8.2,98.0
V12,Coffee Shop,"المثنى بن حارثه, الرياض 14713, المملكة العربية السعودية",24.560798022295533,46.701467187641974,Cheap,32.0,159,8,7.7,43.0
umberlla cafè,Café,"الرياض 14713, المملكة العربية السعودية",24.559185,46.703812,Cheap,26.0,87,5,8.8,28.0
Brugerizzr (برغرايززر),Burger Joint,"Ash shifa, الرياض 14713, المملكة العربية السعودية",24.557319133269203,46.703417121960065,Cheap,18.0,32,3,8.0,22.0
Herfy (هرفي),Fast Food Restaurant,"60th st., Riyadh, المملكة العربية السعودية",24.55838445827308,46.70431280660621,Cheap,5.0,2,1,6.1,10.0
Indian Bhar (بهار الهند),Indian Restaurant,المملكة العربية السعودية,24.561613642962445,46.70109076019008,Moderate,23.0,26,10,7.0,33.0
SUB WAY (صب واي),Sandwich Place,"حي الشفا (ط ابن تيمية), الرياض, المملكة العربية السعودية",24.55893030241372,46.70463602482207,Cheap,24.0,17,1,7.1,35.0
Pizzarati (بيتزراتي),Pizza Place,"الرياض - حي الشفاء, الرياض 14713, المملكة العربية السعودية",24.557463,46.703243,Cheap,5.0,11,3,7.2,9.0
Domino's Pizza,Pizza Place,"2922 Ibn Taymeyah Rd, Near Sabb Bank, Ash Shifa, الرياض 14713, المملكة العربية السعودية",24.557436,46.703137,Cheap,0.0,2,0,7.3,0.0
Dunkin Donuts (دانكن دونتس),Donut Shop,"حي بدر (شارع ابن تيمية), الرياض, المملكة العربية السعودية",24.558614112046328,46.70576268055245,Cheap,548.0,845,29,8.8,665.0
أمبراطور الشورما,Middle Eastern Restaurant,"حي الشفا, الرياض, المملكة العربية السعودية",24.559594221223005,46.70593674578253,Moderate,22.0,11,9,7.7,28.0
برجر كنج Burger King,Burger Joint,المملكة العربية السعودية,24.55940084811784,46.70563055920967,Cheap,10.0,9,2,7.3,13.0
